name,state,lat,lng,tier,rank,population_basis,center_type,anchor_city,country
Buenos Aires,Buenos Aires F.D.,-34.6131500,-58.3772300,metro,1,geonames_ar_2026_2891082,anchor_city,Buenos Aires,ar
Buenos Aires - East,Buenos Aires F.D.,-34.6131500,-58.0872300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Buenos Aires - North,Buenos Aires F.D.,-34.4331500,-58.3772300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Buenos Aires - South,Buenos Aires F.D.,-34.7931500,-58.3772300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Buenos Aires - West,Buenos Aires F.D.,-34.6131500,-58.6672300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Buenos Aires - Northeast,Buenos Aires F.D.,-34.4831500,-58.1672300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Buenos Aires - Northwest,Buenos Aires F.D.,-34.4831500,-58.5872300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Buenos Aires - Southeast,Buenos Aires F.D.,-34.7431500,-58.1672300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Buenos Aires - Southwest,Buenos Aires F.D.,-34.7431500,-58.5872300,metro_offset,1,derived,offset_ring,Buenos Aires,ar
Córdoba,Cordoba,-31.4064800,-64.1885300,metro,2,geonames_ar_2026_2106734,anchor_city,Córdoba,ar
Córdoba - East,Cordoba,-31.4064800,-63.8985300,metro_offset,2,derived,offset_ring,Córdoba,ar
Córdoba - North,Cordoba,-31.2264800,-64.1885300,metro_offset,2,derived,offset_ring,Córdoba,ar
Córdoba - South,Cordoba,-31.5864800,-64.1885300,metro_offset,2,derived,offset_ring,Córdoba,ar
Córdoba - West,Cordoba,-31.4064800,-64.4785300,metro_offset,2,derived,offset_ring,Córdoba,ar
Córdoba - Northeast,Cordoba,-31.2764800,-63.9785300,metro_offset,2,derived,offset_ring,Córdoba,ar
Córdoba - Northwest,Cordoba,-31.2764800,-64.3985300,metro_offset,2,derived,offset_ring,Córdoba,ar
Córdoba - Southeast,Cordoba,-31.5364800,-63.9785300,metro_offset,2,derived,offset_ring,Córdoba,ar
Córdoba - Southwest,Cordoba,-31.5364800,-64.3985300,metro_offset,2,derived,offset_ring,Córdoba,ar
Rosario,Santa Fe,-32.9468200,-60.6393200,metro,3,geonames_ar_2026_948312,anchor_city,Rosario,ar
Rosario - East,Santa Fe,-32.9468200,-60.3493200,metro_offset,3,derived,offset_ring,Rosario,ar
Rosario - North,Santa Fe,-32.7668200,-60.6393200,metro_offset,3,derived,offset_ring,Rosario,ar
Rosario - South,Santa Fe,-33.1268200,-60.6393200,metro_offset,3,derived,offset_ring,Rosario,ar
Rosario - West,Santa Fe,-32.9468200,-60.9293200,metro_offset,3,derived,offset_ring,Rosario,ar
Rosario - Northeast,Santa Fe,-32.8168200,-60.4293200,metro_offset,3,derived,offset_ring,Rosario,ar
Rosario - Northwest,Santa Fe,-32.8168200,-60.8493200,metro_offset,3,derived,offset_ring,Rosario,ar
Rosario - Southeast,Santa Fe,-33.0768200,-60.4293200,metro_offset,3,derived,offset_ring,Rosario,ar
Rosario - Southwest,Santa Fe,-33.0768200,-60.8493200,metro_offset,3,derived,offset_ring,Rosario,ar
Mar del Plata,Buenos Aires,-38.0004200,-57.5562000,metro,4,geonames_ar_2026_593337,anchor_city,Mar del Plata,ar
Mar del Plata - East,Buenos Aires,-38.0004200,-57.2662000,metro_offset,4,derived,offset_ring,Mar del Plata,ar
Mar del Plata - North,Buenos Aires,-37.8204200,-57.5562000,metro_offset,4,derived,offset_ring,Mar del Plata,ar
Mar del Plata - South,Buenos Aires,-38.1804200,-57.5562000,metro_offset,4,derived,offset_ring,Mar del Plata,ar
Mar del Plata - West,Buenos Aires,-38.0004200,-57.8462000,metro_offset,4,derived,offset_ring,Mar del Plata,ar
Mar del Plata - Northeast,Buenos Aires,-37.8704200,-57.3462000,metro_offset,4,derived,offset_ring,Mar del Plata,ar
Mar del Plata - Northwest,Buenos Aires,-37.8704200,-57.7662000,metro_offset,4,derived,offset_ring,Mar del Plata,ar
Mar del Plata - Southeast,Buenos Aires,-38.1304200,-57.3462000,metro_offset,4,derived,offset_ring,Mar del Plata,ar
