name,state,lat,lng,tier,rank,population_basis,center_type,anchor_city,country
São Paulo,São Paulo,-23.5475000,-46.6361100,metro,1,geonames_br_2026_12400232,anchor_city,São Paulo,br
São Paulo - East,São Paulo,-23.5475000,-46.3461100,metro_offset,1,derived,offset_ring,São Paulo,br
São Paulo - North,São Paulo,-23.3675000,-46.6361100,metro_offset,1,derived,offset_ring,São Paulo,br
São Paulo - South,São Paulo,-23.7275000,-46.6361100,metro_offset,1,derived,offset_ring,São Paulo,br
São Paulo - West,São Paulo,-23.5475000,-46.9261100,metro_offset,1,derived,offset_ring,São Paulo,br
São Paulo - Northeast,São Paulo,-23.4175000,-46.4261100,metro_offset,1,derived,offset_ring,São Paulo,br
São Paulo - Northwest,São Paulo,-23.4175000,-46.8461100,metro_offset,1,derived,offset_ring,São Paulo,br
São Paulo - Southeast,São Paulo,-23.6775000,-46.4261100,metro_offset,1,derived,offset_ring,São Paulo,br
São Paulo - Southwest,São Paulo,-23.6775000,-46.8461100,metro_offset,1,derived,offset_ring,São Paulo,br
Rio de Janeiro,Rio de Janeiro,-22.9064200,-43.1822300,metro,2,geonames_br_2026_6747815,anchor_city,Rio de Janeiro,br
Rio de Janeiro - East,Rio de Janeiro,-22.9064200,-42.8922300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Rio de Janeiro - North,Rio de Janeiro,-22.7264200,-43.1822300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Rio de Janeiro - South,Rio de Janeiro,-23.0864200,-43.1822300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Rio de Janeiro - West,Rio de Janeiro,-22.9064200,-43.4722300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Rio de Janeiro - Northeast,Rio de Janeiro,-22.7764200,-42.9722300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Rio de Janeiro - Northwest,Rio de Janeiro,-22.7764200,-43.3922300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Rio de Janeiro - Southeast,Rio de Janeiro,-23.0364200,-42.9722300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Rio de Janeiro - Southwest,Rio de Janeiro,-23.0364200,-43.3922300,metro_offset,2,derived,offset_ring,Rio de Janeiro,br
Belo Horizonte,Minas Gerais,-19.9208300,-43.9377800,metro,3,geonames_br_2026_2721564,anchor_city,Belo Horizonte,br
Belo Horizonte - East,Minas Gerais,-19.9208300,-43.6477800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Belo Horizonte - North,Minas Gerais,-19.7408300,-43.9377800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Belo Horizonte - South,Minas Gerais,-20.1008300,-43.9377800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Belo Horizonte - West,Minas Gerais,-19.9208300,-44.2277800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Belo Horizonte - Northeast,Minas Gerais,-19.7908300,-43.7277800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Belo Horizonte - Northwest,Minas Gerais,-19.7908300,-44.1477800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Belo Horizonte - Southeast,Minas Gerais,-20.0508300,-43.7277800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Belo Horizonte - Southwest,Minas Gerais,-20.0508300,-44.1477800,metro_offset,3,derived,offset_ring,Belo Horizonte,br
Salvador,Bahia,-12.9756300,-38.4909600,metro,4,geonames_br_2026_2711840,anchor_city,Salvador,br
Salvador - East,Bahia,-12.9756300,-38.2009600,metro_offset,4,derived,offset_ring,Salvador,br
Salvador - North,Bahia,-12.7956300,-38.4909600,metro_offset,4,derived,offset_ring,Salvador,br
Salvador - South,Bahia,-13.1556300,-38.4909600,metro_offset,4,derived,offset_ring,Salvador,br
Salvador - West,Bahia,-12.9756300,-38.7809600,metro_offset,4,derived,offset_ring,Salvador,br
Salvador - Northeast,Bahia,-12.8456300,-38.2809600,metro_offset,4,derived,offset_ring,Salvador,br
Salvador - Northwest,Bahia,-12.8456300,-38.7009600,metro_offset,4,derived,offset_ring,Salvador,br
Salvador - Southeast,Bahia,-13.1056300,-38.2809600,metro_offset,4,derived,offset_ring,Salvador,br
Salvador - Southwest,Bahia,-13.1056300,-38.7009600,metro_offset,4,derived,offset_ring,Salvador,br
Fortaleza,Ceará,-3.7172200,-38.5430600,metro,5,geonames_br_2026_2400000,anchor_city,Fortaleza,br
Fortaleza - East,Ceará,-3.7172200,-38.2530600,metro_offset,5,derived,offset_ring,Fortaleza,br
Fortaleza - North,Ceará,-3.5372200,-38.5430600,metro_offset,5,derived,offset_ring,Fortaleza,br
Fortaleza - South,Ceará,-3.8972200,-38.5430600,metro_offset,5,derived,offset_ring,Fortaleza,br
Fortaleza - West,Ceará,-3.7172200,-38.8330600,metro_offset,5,derived,offset_ring,Fortaleza,br
Fortaleza - Northeast,Ceará,-3.5872200,-38.3330600,metro_offset,5,derived,offset_ring,Fortaleza,br
Fortaleza - Northwest,Ceará,-3.5872200,-38.7530600,metro_offset,5,derived,offset_ring,Fortaleza,br
Fortaleza - Southeast,Ceará,-3.8472200,-38.3330600,metro_offset,5,derived,offset_ring,Fortaleza,br
Fortaleza - Southwest,Ceará,-3.8472200,-38.7530600,metro_offset,5,derived,offset_ring,Fortaleza,br
Manaus,Amazonas,-3.1019400,-60.0250000,metro,6,geonames_br_2026_2219580,anchor_city,Manaus,br
Manaus - East,Amazonas,-3.1019400,-59.7350000,metro_offset,6,derived,offset_ring,Manaus,br
Manaus - North,Amazonas,-2.9219400,-60.0250000,metro_offset,6,derived,offset_ring,Manaus,br
Manaus - South,Amazonas,-3.2819400,-60.0250000,metro_offset,6,derived,offset_ring,Manaus,br
Manaus - West,Amazonas,-3.1019400,-60.3150000,metro_offset,6,derived,offset_ring,Manaus,br
Manaus - Northeast,Amazonas,-2.9719400,-59.8150000,metro_offset,6,derived,offset_ring,Manaus,br
Manaus - Northwest,Amazonas,-2.9719400,-60.2350000,metro_offset,6,derived,offset_ring,Manaus,br
Manaus - Southeast,Amazonas,-3.2319400,-59.8150000,metro_offset,6,derived,offset_ring,Manaus,br
Manaus - Southwest,Amazonas,-3.2319400,-60.2350000,metro_offset,6,derived,offset_ring,Manaus,br
Brasília,Federal District,-15.7797200,-47.9297200,metro,7,geonames_br_2026_2207718,anchor_city,Brasília,br
Brasília - East,Federal District,-15.7797200,-47.6397200,metro_offset,7,derived,offset_ring,Brasília,br
Brasília - North,Federal District,-15.5997200,-47.9297200,metro_offset,7,derived,offset_ring,Brasília,br
Brasília - South,Federal District,-15.9597200,-47.9297200,metro_offset,7,derived,offset_ring,Brasília,br
Brasília - West,Federal District,-15.7797200,-48.2197200,metro_offset,7,derived,offset_ring,Brasília,br
Brasília - Northeast,Federal District,-15.6497200,-47.7197200,metro_offset,7,derived,offset_ring,Brasília,br
Brasília - Northwest,Federal District,-15.6497200,-48.1397200,metro_offset,7,derived,offset_ring,Brasília,br
Brasília - Southeast,Federal District,-15.9097200,-47.7197200,metro_offset,7,derived,offset_ring,Brasília,br
Brasília - Southwest,Federal District,-15.9097200,-48.1397200,metro_offset,7,derived,offset_ring,Brasília,br
Curitiba,Paraná,-25.4277800,-49.2730600,metro,8,geonames_br_2026_1948626,anchor_city,Curitiba,br
Curitiba - East,Paraná,-25.4277800,-48.9830600,metro_offset,8,derived,offset_ring,Curitiba,br
Curitiba - North,Paraná,-25.2477800,-49.2730600,metro_offset,8,derived,offset_ring,Curitiba,br
Curitiba - South,Paraná,-25.6077800,-49.2730600,metro_offset,8,derived,offset_ring,Curitiba,br
Curitiba - West,Paraná,-25.4277800,-49.5630600,metro_offset,8,derived,offset_ring,Curitiba,br
Curitiba - Northeast,Paraná,-25.2977800,-49.0630600,metro_offset,8,derived,offset_ring,Curitiba,br
Curitiba - Northwest,Paraná,-25.2977800,-49.4830600,metro_offset,8,derived,offset_ring,Curitiba,br
Curitiba - Southeast,Paraná,-25.5577800,-49.0630600,metro_offset,8,derived,offset_ring,Curitiba,br
Curitiba - Southwest,Paraná,-25.5577800,-49.4830600,metro_offset,8,derived,offset_ring,Curitiba,br
Recife,Pernambuco,-8.0538900,-34.8811100,metro,9,geonames_br_2026_1653461,anchor_city,Recife,br
Recife - East,Pernambuco,-8.0538900,-34.5911100,metro_offset,9,derived,offset_ring,Recife,br
Recife - North,Pernambuco,-7.8738900,-34.8811100,metro_offset,9,derived,offset_ring,Recife,br
Recife - South,Pernambuco,-8.2338900,-34.8811100,metro_offset,9,derived,offset_ring,Recife,br
Recife - West,Pernambuco,-8.0538900,-35.1711100,metro_offset,9,derived,offset_ring,Recife,br
Recife - Northeast,Pernambuco,-7.9238900,-34.6711100,metro_offset,9,derived,offset_ring,Recife,br
Recife - Northwest,Pernambuco,-7.9238900,-35.0911100,metro_offset,9,derived,offset_ring,Recife,br
Recife - Southeast,Pernambuco,-8.1838900,-34.6711100,metro_offset,9,derived,offset_ring,Recife,br
Recife - Southwest,Pernambuco,-8.1838900,-35.0911100,metro_offset,9,derived,offset_ring,Recife,br
Goiânia,Goiás,-16.6786100,-49.2538900,metro,10,geonames_br_2026_1536097,anchor_city,Goiânia,br
Goiânia - East,Goiás,-16.6786100,-48.9638900,metro_offset,10,derived,offset_ring,Goiânia,br
Goiânia - North,Goiás,-16.4986100,-49.2538900,metro_offset,10,derived,offset_ring,Goiânia,br
Goiânia - South,Goiás,-16.8586100,-49.2538900,metro_offset,10,derived,offset_ring,Goiânia,br
Goiânia - West,Goiás,-16.6786100,-49.5438900,metro_offset,10,derived,offset_ring,Goiânia,br
Goiânia - Northeast,Goiás,-16.5486100,-49.0438900,metro_offset,10,derived,offset_ring,Goiânia,br
Goiânia - Northwest,Goiás,-16.5486100,-49.4638900,metro_offset,10,derived,offset_ring,Goiânia,br
Goiânia - Southeast,Goiás,-16.8086100,-49.0438900,metro_offset,10,derived,offset_ring,Goiânia,br
Goiânia - Southwest,Goiás,-16.8086100,-49.4638900,metro_offset,10,derived,offset_ring,Goiânia,br
Belém,Pará,-1.4558300,-48.5044400,metro,11,geonames_br_2026_1499641,anchor_city,Belém,br
Belém - East,Pará,-1.4558300,-48.2144400,metro_offset,11,derived,offset_ring,Belém,br
Belém - North,Pará,-1.2758300,-48.5044400,metro_offset,11,derived,offset_ring,Belém,br
Belém - South,Pará,-1.6358300,-48.5044400,metro_offset,11,derived,offset_ring,Belém,br
Belém - West,Pará,-1.4558300,-48.7944400,metro_offset,11,derived,offset_ring,Belém,br
Belém - Northeast,Pará,-1.3258300,-48.2944400,metro_offset,11,derived,offset_ring,Belém,br
Belém - Northwest,Pará,-1.3258300,-48.7144400,metro_offset,11,derived,offset_ring,Belém,br
Belém - Southeast,Pará,-1.5858300,-48.2944400,metro_offset,11,derived,offset_ring,Belém,br
Belém - Southwest,Pará,-1.5858300,-48.7144400,metro_offset,11,derived,offset_ring,Belém,br
Porto Alegre,Rio Grande do Sul,-30.0328300,-51.2301900,metro,12,geonames_br_2026_1488252,anchor_city,Porto Alegre,br
Porto Alegre - East,Rio Grande do Sul,-30.0328300,-50.9401900,metro_offset,12,derived,offset_ring,Porto Alegre,br
Porto Alegre - North,Rio Grande do Sul,-29.8528300,-51.2301900,metro_offset,12,derived,offset_ring,Porto Alegre,br
Porto Alegre - South,Rio Grande do Sul,-30.2128300,-51.2301900,metro_offset,12,derived,offset_ring,Porto Alegre,br
Porto Alegre - West,Rio Grande do Sul,-30.0328300,-51.5201900,metro_offset,12,derived,offset_ring,Porto Alegre,br
