name,state,lat,lng,tier,rank,population_basis,center_type,anchor_city,country
Toronto,Ontario,43.6532000,-79.3832000,metro,1,statscan_ca_2021_2794356,anchor_city,Toronto,ca
Toronto - East,Ontario,43.6532000,-79.0932000,metro_offset,1,derived,offset_ring,Toronto,ca
Toronto - North,Ontario,43.8332000,-79.3832000,metro_offset,1,derived,offset_ring,Toronto,ca
Toronto - South,Ontario,43.4732000,-79.3832000,metro_offset,1,derived,offset_ring,Toronto,ca
Toronto - West,Ontario,43.6532000,-79.6732000,metro_offset,1,derived,offset_ring,Toronto,ca
Toronto - Northeast,Ontario,43.7832000,-79.1732000,metro_offset,1,derived,offset_ring,Toronto,ca
Toronto - Northwest,Ontario,43.7832000,-79.5932000,metro_offset,1,derived,offset_ring,Toronto,ca
Toronto - Southeast,Ontario,43.5232000,-79.1732000,metro_offset,1,derived,offset_ring,Toronto,ca
Toronto - Southwest,Ontario,43.5232000,-79.5932000,metro_offset,1,derived,offset_ring,Toronto,ca
Montreal,Quebec,45.5017000,-73.5673000,metro,2,statscan_ca_2021_1762949,anchor_city,Montreal,ca
Montreal - East,Quebec,45.5017000,-73.2773000,metro_offset,2,derived,offset_ring,Montreal,ca
Montreal - North,Quebec,45.6817000,-73.5673000,metro_offset,2,derived,offset_ring,Montreal,ca
Montreal - South,Quebec,45.3217000,-73.5673000,metro_offset,2,derived,offset_ring,Montreal,ca
Montreal - West,Quebec,45.5017000,-73.8573000,metro_offset,2,derived,offset_ring,Montreal,ca
Montreal - Northeast,Quebec,45.6317000,-73.3573000,metro_offset,2,derived,offset_ring,Montreal,ca
Montreal - Northwest,Quebec,45.6317000,-73.7773000,metro_offset,2,derived,offset_ring,Montreal,ca
Montreal - Southeast,Quebec,45.3717000,-73.3573000,metro_offset,2,derived,offset_ring,Montreal,ca
Montreal - Southwest,Quebec,45.3717000,-73.7773000,metro_offset,2,derived,offset_ring,Montreal,ca
Calgary,Alberta,51.0447000,-114.0719000,metro,3,statscan_ca_2021_1306784,anchor_city,Calgary,ca
Calgary - East,Alberta,51.0447000,-113.7819000,metro_offset,3,derived,offset_ring,Calgary,ca
Calgary - North,Alberta,51.2247000,-114.0719000,metro_offset,3,derived,offset_ring,Calgary,ca
Calgary - South,Alberta,50.8647000,-114.0719000,metro_offset,3,derived,offset_ring,Calgary,ca
Calgary - West,Alberta,51.0447000,-114.3619000,metro_offset,3,derived,offset_ring,Calgary,ca
Calgary - Northeast,Alberta,51.1747000,-113.8619000,metro_offset,3,derived,offset_ring,Calgary,ca
Calgary - Northwest,Alberta,51.1747000,-114.2819000,metro_offset,3,derived,offset_ring,Calgary,ca
Calgary - Southeast,Alberta,50.9147000,-113.8619000,metro_offset,3,derived,offset_ring,Calgary,ca
Calgary - Southwest,Alberta,50.9147000,-114.2819000,metro_offset,3,derived,offset_ring,Calgary,ca
Ottawa,Ontario,45.4215000,-75.6972000,metro,4,statscan_ca_2021_1017449,anchor_city,Ottawa,ca
Ottawa - East,Ontario,45.4215000,-75.4072000,metro_offset,4,derived,offset_ring,Ottawa,ca
Ottawa - North,Ontario,45.6015000,-75.6972000,metro_offset,4,derived,offset_ring,Ottawa,ca
Ottawa - South,Ontario,45.2415000,-75.6972000,metro_offset,4,derived,offset_ring,Ottawa,ca
