name,province,lat,lng,population,census_year
Toronto,Ontario,43.6532000,-79.3832000,2794356,2021
Montreal,Quebec,45.5017000,-73.5673000,1762949,2021
Calgary,Alberta,51.0447000,-114.0719000,1306784,2021
Ottawa,Ontario,45.4215000,-75.6972000,1017449,2021
Edmonton,Alberta,53.5461000,-113.4938000,1010899,2021
Winnipeg,Manitoba,49.8954000,-97.1385000,749607,2021
Mississauga,Ontario,43.5890000,-79.6441000,717961,2021
Vancouver,British Columbia,49.2827000,-123.1207000,662248,2021
Brampton,Ontario,43.7315000,-79.7624000,656480,2021
Hamilton,Ontario,43.2557000,-79.8711000,569353,2021
Surrey,British Columbia,49.1913000,-122.8490000,568322,2021
Quebec City,Quebec,46.8139000,-71.2082000,549459,2021
Halifax,Nova Scotia,44.6488000,-63.5752000,439819,2021
Laval,Quebec,45.6066000,-73.7124000,438366,2021
London,Ontario,42.9849000,-81.2453000,422324,2021
Markham,Ontario,43.8864000,-79.2634000,338503,2021
Vaughan,Ontario,43.8563000,-79.5087000,323103,2021
Gatineau,Quebec,45.4765000,-75.7013000,291041,2021
Saskatoon,Saskatchewan,52.1579000,-106.6702000,266141,2021
Kitchener,Ontario,43.4516000,-80.4925000,256885,2021
Longueuil,Quebec,45.5312000,-73.5183000,254483,2021
Burnaby,British Columbia,49.2488000,-122.9805000,249125,2021
Windsor,Ontario,42.3149000,-83.0364000,229660,2021
Regina,Saskatchewan,50.4452000,-104.6189000,226404,2021
Oakville,Ontario,43.4675000,-79.6877000,213759,2021
Richmond,British Columbia,49.1666000,-123.1336000,209937,2021
Richmond Hill,Ontario,43.8828000,-79.4403000,202022,2021
Burlington,Ontario,43.3255000,-79.7990000,186948,2021
Oshawa,Ontario,43.8971000,-78.8658000,175383,2021
Sherbrooke,Quebec,45.4001000,-71.8990000,172950,2021
Greater Sudbury,Ontario,46.4900000,-80.9900000,166004,2021
Abbotsford,British Columbia,49.0579000,-122.2526000,153524,2021
Lévis,Quebec,46.7870667,-71.1919333,149683,2021
Coquitlam,British Columbia,49.2838000,-122.7917000,148625,2021
Barrie,Ontario,44.3894000,-79.6903000,147829,2021
Saguenay,Quebec,48.4283000,-71.0683000,144723,2021
Kelowna,British Columbia,49.8877000,-119.4960000,144576,2021
Guelph,Ontario,43.5448000,-80.2482000,143740,2021
Trois-Rivières,Quebec,46.3432000,-72.5797000,139163,2021
Whitby,Ontario,43.8975000,-78.9429000,138501,2021
Cambridge,Ontario,43.3616000,-80.3144000,138479,2021
St. Catharines,Ontario,43.1594000,-79.2469000,136803,2021
Milton,Ontario,43.5082000,-79.8842000,132979,2021
Langley,British Columbia,49.1004000,-122.6587000,132603,2021
Kingston,Ontario,44.2312000,-76.4860000,132485,2021
Ajax,Ontario,43.8673333,-79.0280000,126666,2021
Waterloo,Ontario,43.4643000,-80.5204000,121436,2021
Terrebonne,Quebec,45.6995000,-73.6242000,119944,2021
Saanich,British Columbia,48.4846000,-123.3817000,117735,2021
St. John's,Newfoundland and Labrador,47.5615000,-52.7126000,110525,2021
Thunder Bay,Ontario,48.3809000,-89.2477000,108843,2021
Delta,British Columbia,49.0951000,-123.0262000,108455,2021
Brantford,Ontario,43.1394000,-80.2644000,104688,2021
Chatham-Kent,Ontario,42.4048000,-82.1914000,103988,2021
Clarington,Ontario,43.9352000,-78.6086000,101427,2021
Red Deer,Alberta,52.2681000,-113.8112000,100844,2021
Nanaimo,British Columbia,49.1659000,-123.9401000,99863,2021
Strathcona County,Alberta,53.5253000,-113.3019000,99225,2021
Pickering,Ontario,43.8384000,-79.0868000,99186,2021
Lethbridge,Alberta,49.6942000,-112.8328000,98406,2021
Kamloops,British Columbia,50.6745000,-120.3273000,97902,2021
Saint-Jean-sur-Richelieu,Quebec,45.3093750,-73.2820500,97873,2021
Niagara Falls,Ontario,43.0896000,-79.0849000,94415,2021
Cape Breton,Nova Scotia,46.1351000,-60.1831000,93694,2021
Chilliwack,British Columbia,49.1128333,-121.8342333,93203,2021
Victoria,British Columbia,48.4275333,-123.3623667,91867,2021
Brossard,Quebec,45.4585000,-73.4651000,91525,2021
Maple Ridge,British Columbia,49.2194000,-122.5987000,90990,2021
North Vancouver,British Columbia,49.3163000,-123.0722000,88168,2021
Newmarket,Ontario,44.0592000,-79.4613000,87942,2021
Repentigny,Quebec,45.7416000,-73.4504000,86100,2021
Peterborough,Ontario,44.4161200,-78.2414400,83651,2021
Saint-Jérôme,Quebec,45.7800000,-74.0034000,80213,2021
Moncton,New Brunswick,46.1185000,-64.8683000,79470,2021
Drummondville,Quebec,45.8836000,-72.4824000,79258,2021
Kawartha Lakes,Ontario,44.3500000,-78.7500000,79247,2021
New Westminster,British Columbia,49.2057000,-122.9109000,78916,2021
Prince George,British Columbia,53.9171000,-122.7497000,76708,2021
Caledon,Ontario,43.8667000,-79.8667000,76581,2021
Airdrie,Alberta,51.2940500,-114.0139000,74100,2021
Wood Buffalo,Alberta,56.7265000,-111.3790000,72326,2021
Sault Ste. Marie,Ontario,46.5219000,-84.3061000,72051,2021
Sarnia,Ontario,42.9864400,-82.3353200,72047,2021
Saint John,New Brunswick,45.2733000,-66.0633000,69895,2021
Granby,Quebec,45.4001000,-72.7322000,69025,2021
St. Albert,Alberta,53.6600500,-113.6727500,68232,2021
Norfolk County,Ontario,42.8500000,-80.2667000,67490,2021
Grande Prairie,Alberta,55.1700000,-118.7900000,64141,2021
Medicine Hat,Alberta,50.0405000,-110.6764000,63271,2021
Fredericton,New Brunswick,45.9636000,-66.6431000,63116,2021
Halton Hills,Ontario,43.6500000,-79.9167000,62951,2021
Aurora,Ontario,44.0065000,-79.4504000,62057,2021
Port Coquitlam,British Columbia,49.2627000,-122.7806000,61498,2021
Mirabel,Quebec,45.6500000,-74.0833000,61108,2021
Blainville,Quebec,45.6739000,-73.8789000,59819,2021
Saint-Hyacinthe,Quebec,45.6308000,-72.9534000,57239,2021
Welland,Ontario,42.9938000,-79.2437500,55750,2021
Belleville,Ontario,44.1628000,-77.3832000,55071,2021
North Bay,Ontario,46.3092000,-79.4608000,52662,2021
