name,state,lat,lng,tier,rank,population_basis,center_type,anchor_city,country
Bogotá,Bogota D.C.,4.6097100,-74.0817500,metro,1,geonames_co_2026_7674366,anchor_city,Bogotá,co
Bogotá - East,Bogota D.C.,4.6097100,-73.7917500,metro_offset,1,derived,offset_ring,Bogotá,co
Bogotá - North,Bogota D.C.,4.7897100,-74.0817500,metro_offset,1,derived,offset_ring,Bogotá,co
Bogotá - South,Bogota D.C.,4.4297100,-74.0817500,metro_offset,1,derived,offset_ring,Bogotá,co
Bogotá - West,Bogota D.C.,4.6097100,-74.3717500,metro_offset,1,derived,offset_ring,Bogotá,co
Bogotá - Northeast,Bogota D.C.,4.7397100,-73.8717500,metro_offset,1,derived,offset_ring,Bogotá,co
Bogotá - Northwest,Bogota D.C.,4.7397100,-74.2917500,metro_offset,1,derived,offset_ring,Bogotá,co
Bogotá - Southeast,Bogota D.C.,4.4797100,-73.8717500,metro_offset,1,derived,offset_ring,Bogotá,co
Bogotá - Southwest,Bogota D.C.,4.4797100,-74.2917500,metro_offset,1,derived,offset_ring,Bogotá,co
Cali,Valle del Cauca Department,3.4305400,-76.5199000,metro,2,geonames_co_2026_2392877,anchor_city,Cali,co
Cali - East,Valle del Cauca Department,3.4305400,-76.2299000,metro_offset,2,derived,offset_ring,Cali,co
Cali - North,Valle del Cauca Department,3.6105400,-76.5199000,metro_offset,2,derived,offset_ring,Cali,co
Cali - South,Valle del Cauca Department,3.2505400,-76.5199000,metro_offset,2,derived,offset_ring,Cali,co
Cali - West,Valle del Cauca Department,3.4305400,-76.8099000,metro_offset,2,derived,offset_ring,Cali,co
Cali - Northeast,Valle del Cauca Department,3.5605400,-76.3099000,metro_offset,2,derived,offset_ring,Cali,co
Cali - Northwest,Valle del Cauca Department,3.5605400,-76.7299000,metro_offset,2,derived,offset_ring,Cali,co
Cali - Southeast,Valle del Cauca Department,3.3005400,-76.3099000,metro_offset,2,derived,offset_ring,Cali,co
Cali - Southwest,Valle del Cauca Department,3.3005400,-76.7299000,metro_offset,2,derived,offset_ring,Cali,co
Medellín,Antioquia,6.2450000,-75.5715100,metro,3,geonames_co_2026_1999979,anchor_city,Medellín,co
Medellín - East,Antioquia,6.2450000,-75.2815100,metro_offset,3,derived,offset_ring,Medellín,co
Medellín - North,Antioquia,6.4250000,-75.5715100,metro_offset,3,derived,offset_ring,Medellín,co
Medellín - South,Antioquia,6.0650000,-75.5715100,metro_offset,3,derived,offset_ring,Medellín,co
Medellín - West,Antioquia,6.2450000,-75.8615100,metro_offset,3,derived,offset_ring,Medellín,co
Medellín - Northeast,Antioquia,6.3750000,-75.3615100,metro_offset,3,derived,offset_ring,Medellín,co
