name,state,lat,lng,tier,rank,population_basis,center_type,anchor_city,country
Jakarta,Jakarta,-6.2146200,106.8451300,metro,1,geonames_id_2026_8540121,anchor_city,Jakarta,id
Jakarta - East,Jakarta,-6.2146200,107.1351300,metro_offset,1,derived,offset_ring,Jakarta,id
Jakarta - North,Jakarta,-6.0346200,106.8451300,metro_offset,1,derived,offset_ring,Jakarta,id
Jakarta - South,Jakarta,-6.3946200,106.8451300,metro_offset,1,derived,offset_ring,Jakarta,id
Jakarta - West,Jakarta,-6.2146200,106.5551300,metro_offset,1,derived,offset_ring,Jakarta,id
Jakarta - Northeast,Jakarta,-6.0846200,107.0551300,metro_offset,1,derived,offset_ring,Jakarta,id
Jakarta - Northwest,Jakarta,-6.0846200,106.6351300,metro_offset,1,derived,offset_ring,Jakarta,id
Jakarta - Southeast,Jakarta,-6.3446200,107.0551300,metro_offset,1,derived,offset_ring,Jakarta,id
Jakarta - Southwest,Jakarta,-6.3446200,106.6351300,metro_offset,1,derived,offset_ring,Jakarta,id
Surabaya,East Java,-7.2491700,112.7508300,metro,2,geonames_id_2026_3018022,anchor_city,Surabaya,id
Surabaya - East,East Java,-7.2491700,113.0408300,metro_offset,2,derived,offset_ring,Surabaya,id
Surabaya - North,East Java,-7.0691700,112.7508300,metro_offset,2,derived,offset_ring,Surabaya,id
Surabaya - South,East Java,-7.4291700,112.7508300,metro_offset,2,derived,offset_ring,Surabaya,id
Surabaya - West,East Java,-7.2491700,112.4608300,metro_offset,2,derived,offset_ring,Surabaya,id
Surabaya - Northeast,East Java,-7.1191700,112.9608300,metro_offset,2,derived,offset_ring,Surabaya,id
Surabaya - Northwest,East Java,-7.1191700,112.5408300,metro_offset,2,derived,offset_ring,Surabaya,id
Surabaya - Southeast,East Java,-7.3791700,112.9608300,metro_offset,2,derived,offset_ring,Surabaya,id
Surabaya - Southwest,East Java,-7.3791700,112.5408300,metro_offset,2,derived,offset_ring,Surabaya,id
Bandung,West Java,-6.9222200,107.6069400,metro,3,geonames_id_2026_2528163,anchor_city,Bandung,id
Bandung - East,West Java,-6.9222200,107.8969400,metro_offset,3,derived,offset_ring,Bandung,id
Bandung - North,West Java,-6.7422200,107.6069400,metro_offset,3,derived,offset_ring,Bandung,id
Bandung - South,West Java,-7.1022200,107.6069400,metro_offset,3,derived,offset_ring,Bandung,id
Bandung - West,West Java,-6.9222200,107.3169400,metro_offset,3,derived,offset_ring,Bandung,id
Bandung - Northeast,West Java,-6.7922200,107.8169400,metro_offset,3,derived,offset_ring,Bandung,id
Bandung - Northwest,West Java,-6.7922200,107.3969400,metro_offset,3,derived,offset_ring,Bandung,id
Bandung - Southeast,West Java,-7.0522200,107.8169400,metro_offset,3,derived,offset_ring,Bandung,id
Bandung - Southwest,West Java,-7.0522200,107.3969400,metro_offset,3,derived,offset_ring,Bandung,id
Medan,North Sumatra,3.5833300,98.6666700,metro,4,geonames_id_2026_2486283,anchor_city,Medan,id
Medan - East,North Sumatra,3.5833300,98.9566700,metro_offset,4,derived,offset_ring,Medan,id
Medan - North,North Sumatra,3.7633300,98.6666700,metro_offset,4,derived,offset_ring,Medan,id
Medan - South,North Sumatra,3.4033300,98.6666700,metro_offset,4,derived,offset_ring,Medan,id
