name,state,lat,lng,tier,rank,population_basis,center_type,anchor_city,country
Mexico City,Mexico City,19.4284700,-99.1276600,metro,1,geonames_mx_2026_12294193,anchor_city,Mexico City,mx
Mexico City - East,Mexico City,19.4284700,-98.8376600,metro_offset,1,derived,offset_ring,Mexico City,mx
Mexico City - North,Mexico City,19.6084700,-99.1276600,metro_offset,1,derived,offset_ring,Mexico City,mx
Mexico City - South,Mexico City,19.2484700,-99.1276600,metro_offset,1,derived,offset_ring,Mexico City,mx
Mexico City - West,Mexico City,19.4284700,-99.4176600,metro_offset,1,derived,offset_ring,Mexico City,mx
Mexico City - Northeast,Mexico City,19.5584700,-98.9176600,metro_offset,1,derived,offset_ring,Mexico City,mx
Mexico City - Northwest,Mexico City,19.5584700,-99.3376600,metro_offset,1,derived,offset_ring,Mexico City,mx
Mexico City - Southeast,Mexico City,19.2984700,-98.9176600,metro_offset,1,derived,offset_ring,Mexico City,mx
Mexico City - Southwest,Mexico City,19.2984700,-99.3376600,metro_offset,1,derived,offset_ring,Mexico City,mx
Tijuana,Baja California,32.5027000,-117.0037100,metro,2,geonames_mx_2026_1922523,anchor_city,Tijuana,mx
Tijuana - East,Baja California,32.5027000,-116.7137100,metro_offset,2,derived,offset_ring,Tijuana,mx
Tijuana - North,Baja California,32.6827000,-117.0037100,metro_offset,2,derived,offset_ring,Tijuana,mx
Tijuana - South,Baja California,32.3227000,-117.0037100,metro_offset,2,derived,offset_ring,Tijuana,mx
Tijuana - West,Baja California,32.5027000,-117.2937100,metro_offset,2,derived,offset_ring,Tijuana,mx
Tijuana - Northeast,Baja California,32.6327000,-116.7937100,metro_offset,2,derived,offset_ring,Tijuana,mx
Tijuana - Northwest,Baja California,32.6327000,-117.2137100,metro_offset,2,derived,offset_ring,Tijuana,mx
Tijuana - Southeast,Baja California,32.3727000,-116.7937100,metro_offset,2,derived,offset_ring,Tijuana,mx
Tijuana - Southwest,Baja California,32.3727000,-117.2137100,metro_offset,2,derived,offset_ring,Tijuana,mx
Puebla,Puebla,19.0477800,-98.2072300,metro,3,geonames_mx_2026_1692181,anchor_city,Puebla,mx
Puebla - East,Puebla,19.0477800,-97.9172300,metro_offset,3,derived,offset_ring,Puebla,mx
Puebla - North,Puebla,19.2277800,-98.2072300,metro_offset,3,derived,offset_ring,Puebla,mx
Puebla - South,Puebla,18.8677800,-98.2072300,metro_offset,3,derived,offset_ring,Puebla,mx
Puebla - West,Puebla,19.0477800,-98.4972300,metro_offset,3,derived,offset_ring,Puebla,mx
Puebla - Northeast,Puebla,19.1777800,-97.9972300,metro_offset,3,derived,offset_ring,Puebla,mx
Puebla - Northwest,Puebla,19.1777800,-98.4172300,metro_offset,3,derived,offset_ring,Puebla,mx
Puebla - Southeast,Puebla,18.9177800,-97.9972300,metro_offset,3,derived,offset_ring,Puebla,mx
Puebla - Southwest,Puebla,18.9177800,-98.4172300,metro_offset,3,derived,offset_ring,Puebla,mx
Ecatepec de Morelos,México,19.6049200,-99.0606400,metro,4,geonames_mx_2026_1645352,anchor_city,Ecatepec de Morelos,mx
Ecatepec de Morelos - East,México,19.6049200,-98.7706400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Ecatepec de Morelos - North,México,19.7849200,-99.0606400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Ecatepec de Morelos - South,México,19.4249200,-99.0606400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Ecatepec de Morelos - West,México,19.6049200,-99.3506400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Ecatepec de Morelos - Northeast,México,19.7349200,-98.8506400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Ecatepec de Morelos - Northwest,México,19.7349200,-99.2706400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Ecatepec de Morelos - Southeast,México,19.4749200,-98.8506400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Ecatepec de Morelos - Southwest,México,19.4749200,-99.2706400,metro_offset,4,derived,offset_ring,Ecatepec de Morelos,mx
Santiago de Querétaro,Querétaro,20.5880600,-100.3880600,metro,5,geonames_mx_2026_1594212,anchor_city,Santiago de Querétaro,mx
Santiago de Querétaro - East,Querétaro,20.5880600,-100.0980600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
Santiago de Querétaro - North,Querétaro,20.7680600,-100.3880600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
Santiago de Querétaro - South,Querétaro,20.4080600,-100.3880600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
Santiago de Querétaro - West,Querétaro,20.5880600,-100.6780600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
Santiago de Querétaro - Northeast,Querétaro,20.7180600,-100.1780600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
Santiago de Querétaro - Northwest,Querétaro,20.7180600,-100.5980600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
Santiago de Querétaro - Southeast,Querétaro,20.4580600,-100.1780600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
Santiago de Querétaro - Southwest,Querétaro,20.4580600,-100.5980600,metro_offset,5,derived,offset_ring,Santiago de Querétaro,mx
León de los Aldama,Guanajuato,21.1218300,-101.6825300,metro,6,geonames_mx_2026_1579803,anchor_city,León de los Aldama,mx
León de los Aldama - East,Guanajuato,21.1218300,-101.3925300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
León de los Aldama - North,Guanajuato,21.3018300,-101.6825300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
León de los Aldama - South,Guanajuato,20.9418300,-101.6825300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
León de los Aldama - West,Guanajuato,21.1218300,-101.9725300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
León de los Aldama - Northeast,Guanajuato,21.2518300,-101.4725300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
León de los Aldama - Northwest,Guanajuato,21.2518300,-101.8925300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
León de los Aldama - Southeast,Guanajuato,20.9918300,-101.4725300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
León de los Aldama - Southwest,Guanajuato,20.9918300,-101.8925300,metro_offset,6,derived,offset_ring,León de los Aldama,mx
Ciudad Juárez,Chihuahua,31.7202400,-106.4608400,metro,7,geonames_mx_2026_1512450,anchor_city,Ciudad Juárez,mx
Ciudad Juárez - East,Chihuahua,31.7202400,-106.1708400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Ciudad Juárez - North,Chihuahua,31.9002400,-106.4608400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Ciudad Juárez - South,Chihuahua,31.5402400,-106.4608400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Ciudad Juárez - West,Chihuahua,31.7202400,-106.7508400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Ciudad Juárez - Northeast,Chihuahua,31.8502400,-106.2508400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Ciudad Juárez - Northwest,Chihuahua,31.8502400,-106.6708400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Ciudad Juárez - Southeast,Chihuahua,31.5902400,-106.2508400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Ciudad Juárez - Southwest,Chihuahua,31.5902400,-106.6708400,metro_offset,7,derived,offset_ring,Ciudad Juárez,mx
Guadalajara,Jalisco,20.6773800,-103.3474900,metro,8,geonames_mx_2026_1385629,anchor_city,Guadalajara,mx
Guadalajara - East,Jalisco,20.6773800,-103.0574900,metro_offset,8,derived,offset_ring,Guadalajara,mx
Guadalajara - North,Jalisco,20.8573800,-103.3474900,metro_offset,8,derived,offset_ring,Guadalajara,mx
Guadalajara - South,Jalisco,20.4973800,-103.3474900,metro_offset,8,derived,offset_ring,Guadalajara,mx
Guadalajara - West,Jalisco,20.6773800,-103.6374900,metro_offset,8,derived,offset_ring,Guadalajara,mx
